Date,Volume
2015-12-06,3
2015-12-13,2
2015-12-20,2
2015-12-27,2
2016-01-03,2
2016-01-10,2
2016-01-17,2
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,2
2016-02-21,2
2016-02-28,2
2016-03-06,2
2016-03-13,2
2016-03-20,2
2016-03-27,2
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,2
2016-05-01,3
2016-05-08,2
2016-05-15,2
2016-05-22,2
2016-05-29,3
2016-06-05,2
2016-06-12,4
2016-06-19,4
2016-06-26,3
2016-07-03,3
2016-07-10,2
2016-07-17,2
2016-07-24,2
2016-07-31,3
2016-08-07,2
2016-08-14,2
2016-08-21,2
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-02,2
2016-10-09,2
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,2
2016-12-18,3
2016-12-25,4
2017-01-01,6
2017-01-08,4
2017-01-15,3
2017-01-22,3
2017-01-29,3
2017-02-05,3
2017-02-12,3
2017-02-19,4
2017-02-26,4
2017-03-05,5
2017-03-12,4
2017-03-19,4
2017-03-26,3
2017-04-02,3
2017-04-09,3
2017-04-16,3
2017-04-23,4
2017-04-30,5
2017-05-07,7
2017-05-14,8
2017-05-21,17
2017-05-28,10
2017-06-04,10
2017-06-11,11
2017-06-18,8
2017-06-25,8
2017-07-02,7
2017-07-09,7
2017-07-16,9
2017-07-23,8
2017-07-30,12
2017-08-06,12
2017-08-13,16
2017-08-20,12
2017-08-27,13
2017-09-03,13
2017-09-10,15
2017-09-17,11
2017-09-24,9
2017-10-01,9
2017-10-08,14
2017-10-15,15
2017-10-22,15
2017-10-29,22
2017-11-05,23
2017-11-12,27
2017-11-19,23
2017-11-26,65
2017-12-03,94
2017-12-10,84
2017-12-17,100
2017-12-24,58
2017-12-31,42
2018-01-07,40
2018-01-14,52
2018-01-21,34
2018-01-28,36
2018-02-04,44
2018-02-11,23
2018-02-18,20
2018-02-25,17
2018-03-04,17
2018-03-11,18
2018-03-18,16
2018-03-25,16
2018-04-01,15
2018-04-08,14
2018-04-15,12
2018-04-22,13
2018-04-29,11
2018-05-06,11
2018-05-13,10
2018-05-20,10
2018-05-27,9
2018-06-03,8
2018-06-10,12
2018-06-17,10
2018-06-24,11
2018-07-01,9
2018-07-08,8
2018-07-15,10
2018-07-22,10
2018-07-29,9
2018-08-05,10
2018-08-12,10
2018-08-19,9
2018-08-26,8
2018-09-02,9
2018-09-09,8
2018-09-16,7
2018-09-23,7
2018-09-30,6
2018-10-07,6
2018-10-14,6
2018-10-21,5
2018-10-28,6
2018-11-04,5
2018-11-11,8
2018-11-18,11
2018-11-25,12
2018-12-02,10
2018-12-09,9
2018-12-16,10
2018-12-23,8
2018-12-30,6
2019-01-06,7
2019-01-13,6
2019-01-20,5
2019-01-27,5
2019-02-03,6
2019-02-10,5
2019-02-17,6
2019-02-24,6
2019-03-03,5
2019-03-10,5
2019-03-17,5
2019-03-24,5
2019-03-31,10
2019-04-07,8
2019-04-14,7
2019-04-21,7
2019-04-28,6
2019-05-05,9
2019-05-12,16
2019-05-19,11
2019-05-26,12
2019-06-02,9
2019-06-09,8
2019-06-16,15
2019-06-23,23
2019-06-30,13
2019-07-07,13
2019-07-14,13
2019-07-21,10
2019-07-28,9
2019-08-04,10
2019-08-11,9
2019-08-18,8
2019-08-25,7
2019-09-01,7
2019-09-08,6
2019-09-15,6
2019-09-22,9
2019-09-29,7
2019-10-06,7
2019-10-13,6
2019-10-20,8
2019-10-27,7
2019-11-03,6
2019-11-10,6
2019-11-17,7
2019-11-24,7
2019-12-01,6
2019-12-08,5
2019-12-15,7
2019-12-22,6
2019-12-29,6
2020-01-05,7
2020-01-12,7
2020-01-19,7
2020-01-26,7
2020-02-02,7
2020-02-09,9
2020-02-16,8
2020-02-23,8
2020-03-01,7
2020-03-08,14
2020-03-15,13
2020-03-22,10
2020-03-29,8
2020-04-05,8
2020-04-12,8
2020-04-19,8
2020-04-26,11
2020-05-03,12
2020-05-10,14
2020-05-17,9
2020-05-24,8
2020-05-31,8
2020-06-07,8
2020-06-14,7
2020-06-21,7
2020-06-28,7
2020-07-05,7
2020-07-12,8
2020-07-19,7
2020-07-26,12
2020-08-02,11
2020-08-09,10
2020-08-16,9
2020-08-23,7
2020-08-30,8
2020-09-06,7
2020-09-13,7
2020-09-20,6
2020-09-27,6
2020-10-04,6
2020-10-11,6
2020-10-18,10
2020-10-25,10
2020-11-01,10
2020-11-08,11
2020-11-15,17
2020-11-22,19
2020-11-29,18
